"","shopname","addr","telephone","long","lat"
"165","상암사보이시티","서울특별시 마포구 월드컵북로54길 17 (상암동)","02-373-3225","126.888983","37.581470"
"166","신촌오거리","서울특별시 마포구 신촌로16길 10 (노고산동)","02-334-3275","126.934694","37.555137"
"167","상암디지털큐브","서울특별시 마포구 상암산로 34","02-758-8890","126.8892477","37.5763132"
"168","상수역","서울특별시 마포구 독막로 88 (상수동)","02-758-8925","126.92321579999998","37.5474817"
"169","공덕오거리","서울특별시 마포구 마포대로 86 (도화동) 창강빌딩","02-758-8933","126.95057730000008","37.5424641"
"170","서교","서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층","02-758-8856","126.9169208","37.551385"
"171","서강대","서울특별시 마포구 백범로 23 (신수동)","02-758-8783","126.9378262","37.5524584"
"172","상암MBC","서울특별시 마포구 성암로 267 (상암동)","02-758-8787","126.890908","37.581297"
"173","홍대공원","서울특별시 마포구 와우산로 83 (서교동)","02-758-8786","126.9232428","37.5518983"
"174","홍대역","서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)","02-758-8672","126.923654","37.557175"
"175","동교","서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)","02-758-8637","126.919819","37.556928"
"176","애오개역","서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)","02-758-8272","126.9555203","37.55218737"
"177","홍대갤러리","서울특별시 마포구 와우산로 101, 정명빌딩 (서교동)","02-758-8293","126.9248279","37.55328184"
"178","상암DMC","서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)","02-6393-6219","126.890684","37.577623"
"179","마포일진빌딩","서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)","02-758-8265","126.9463168","37.54043451"
"180","마포아크로","서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워","02-758-8217","126.948819","37.54145556"
"181","홍대삼거리","서울특별시 마포구 와우산로 64 (상수동)","02-758-8402","126.923179","37.550266"
"182","망원역","서울특별시 마포구 월드컵로 74 (서교동)","02-758-8365","126.910637","37.555829"
"183","마포이마트","서울특별시 마포구 백범로 212 (신공덕동) 마포이마트","02-758-8467","126.953341","37.542421"
"184","합정메세나몰","서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)","02-758-8534","126.913848","37.551004"
"185","가재울뉴타운","서울 서대문구 가재울미래로 2","02-304-3724","126.9164441","37.5749841"
"186","신촌역","서울특별시 서대문구 신촌로 73 (창천동)","02-336-3529","126.934673","37.556167"
"187","연희동","서울특별시 서대문구 연희로 97 (연희동)","02-326-3372","126.930475","37.566702"
"188","아현역","서울특별시 서대문구 신촌로35길 10 (북아현동, E편한세상신촌 4단지)","02-312-3430","126.956058","37.557820"
"189","홍제역","서울특별시 서대문구 통일로 451 (홍제동)","02-396-3383","126.943864","37.588658"
"190","연세백양로","서울특별시 서대문구 연세로 50 (신촌동) 연세대학교","02-758-8977","126.937529","37.562644"
"191","명지대","서울특별시 서대문구 거북골로 53 (남가좌동)","02-758-8908","126.92232330000001","37.5782618"
"192","연희DT","서울특별시 서대문구 연희로 144 (연희동)","02-758-8893","126.9339777","37.5702143"
"193","동교삼거리","서울특별시 서대문구 신촌로 1 (창천동)","02-758-8688","126.92742","37.559046"
"194","경기대","서울특별시 서대문구 충정로 53 (충정로2가)","02-758-8163","126.9646045","37.56367995"
"195","신촌대로","서울특별시 서대문구 신촌로 121 (창천동)","02-758-8090","126.9392796","37.55624543"
"196","신촌","서울특별시 서대문구 연세로 10-1 (창천동)","02-758-8035","126.9371155","37.55648577"
"197","이대R","서울특별시 서대문구 이화여대길 34 (대현동)","02-758-8001","126.9459643","37.55848315"
"198","연세종합관","서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)","02-758-8244","126.9414708","37.56177145"
"199","이대ECC","서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호","02-758-8240","126.947350","37.561631"
"200","연대","서울특별시 서대문구 연세로 35 (창천동)","02-758-8439","126.936727","37.558706"
"201","신촌아트레온","서울특별시 서대문구 신촌로 129 (창천동)","02-758-8401","126.940238","37.556505"
"202","충정로역","서울특별시 서대문구 충정로 23","02-758-8479","126.963219","37.56137"
"203","연대동문","서울특별시 서대문구 성산로 565 (대신동)","02-758-8450","126.946273","37.566385"
"204","신촌명물거리","서울특별시 서대문구 명물길 24, 1-5층 (창천동)","02-365-8330","126.938095","37.557796"
"205","충정타워","서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)","02-758-8333","126.964110","37.559869"
"206","강남교보타워R","서울특별시 서초구 강남대로 465 (서초동)","02-534-3604","127.024075","37.503789"
"207","방배다이치빌딩","서울특별시 서초구 방배로 114 (방배동)","02-3473-3576","126.995872","37.484329"
"208","센트럴F1","서울특별시 서초구 신반포로 176 (반포동)","02-537-3598","127.004395","37.505148"
"209","서초역이화빌딩","서울특별시 서초구 반포대로21길 3 (서초동)","02-522-3533","127.009126","37.487931"
"210","서초구청","서울특별시 서초구 남부순환로 2557 (서초동)","02-3471-3545","127.030103","37.484206"
"211","서초우성사거리","서울특별시 서초구 강남대로 343 (서초동)","02-3486-3536","127.029430","37.493545"
"212","이수역사거리","서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)","02-3476-3472","126.983027","37.485850"
"213","강남대로신사","서울특별시 서초구 강남대로 595 (잠원동)","02-516-3402","127.019469","37.514890"
"214","서울고속터미널","서울특별시 서초구 신반포로 194 (반포동)","02-592-3432","127.005648","37.504406"
"215","강남대로논현R","서울특별시 서초구 강남대로85길 5 (반포동)","02-515-3419","127.022568","37.507413"
"216","방배","서울특별시 서초구 방배로 211","02-536-3204","126.99049739999998","37.491914"
"217","방배카페거리","서울특별시 서초구 방배중앙로 162 (방배동)","02-536-3206","126.9865297","37.4934767"
"218","서초법원","서울특별시 서초구 서초대로 274 (서초동)","02-523-3294","127.011875","37.492970"
"219","청계산입구역","서울특별시 서초구 청계산로 203 (신원동)","02-577-3253","127.056250","37.447323"
"220","사당로데오","서울특별시 서초구 방배천로 5-4(방배동)","02-758-8953","126.98216049999996","37.4772752"
"221","파미에파크R","서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY","02-758-8790","127.004362","37.5030521"
"222","교대역","서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩","02-758-8757","127.01394","37.494207"
"223","양재역","서울특별시 서초구 강남대로 202 (양재동) 모산빌딩","02-758-8816","127.0367682","37.4820475"
"224","논현역","서울특별시 서초구 강남대로 557 (잠원동) 1~2층","02-758-8819","127.0205875","37.5111983"
"225","이수역","서울특별시 서초구 동작대로 112 (방배동)","02-758-8794","126.98274029999993","37.4864664"
"226","내방역","서울특별시 서초구 방배로 184 (방배동) 대풍빌딩","02-758-8740","126.992455","37.490004"
"227","서초파라곤","서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤","02-758-8716","127.027422","37.494941"
"228","서울아트센터","서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩","02-758-8738","127.012368","37.480866"
"229","서초중앙로","서울특별시 서초구 서초중앙로 225","02-758-8715","127.01152","37.501691"
"230","센트럴시티","서울특별시 서초구 신반포로 176 (반포동)","02-758-8656","127.004459","37.504707"
"231","강남삼성타운","서울특별시 서초구 서초대로78길 24 (서초동)","02-758-8213","127.0277144","37.49562035"
"232","방배역","서울특별시 서초구 방배로 84 (방배동)","02-758-8086","126.9976438","37.48200755"
"233","반포역","서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가","02-758-8141","127.011959","37.508589"
"234","남부터미널","서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)","02-758-8085","127.0169464","37.48467334"
"235","뉴코아강남","서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽","02-758-8032","127.0069582","37.51031339"
"236","강남2","서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)","02-758-8081","127.02549090000002","37.5000875"
"237","교대","서울특별시 서초구 서초중앙로 118 (서초동)","02-758-8073","127.0142207","37.4923611"
"238","하이브랜드","서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동)","02-2155-4117","127.0368447","37.46330766"
"239","신논현역","서울특별시 서초구 강남대로 483 (반포동) 청호빌딩","02-758-8756","127.023636","37.50529"
"240","영동2교","서울특별시 서초구 논현로 139, 대흥빌딩 (양재동)","02-758-8291","127.0425748","37.48203954"
"241","남부터미널2","서울특별시 서초구 효령로 274 (서초동)","02-758-8229","127.0142192","37.48436736"
"242","서래마을입구","서울특별시 서초구 서래로 48 (반포동)","02-3482-8257","126.9984801","37.49925284"
"243","몬테소리","서울특별시 서초구 강남대로 399 (서초동)","02-758-8225","127.026865","37.4982695"
"244","서초역","서울특별시 서초구 반포대로 118 (서초동)","02-758-8289","127.0086118","37.49067495"
"245","예술의전당","서울특별시 서초구 남부순환로323길 1, 1층 (서초동)","02-758-8313","127.0134724","37.48115265"
"246","교대법원","서울특별시 서초구 서초중앙로 164 (서초동)","02-758-8400","127.013336","37.496329"
"247","강남GT타워","서울특별시 서초구 서초대로 411, GT타워 (서초동)","02-758-8477","127.02583300000003","37.498056"
"248","서초동","서울특별시 서초구 남부순환로339길 64, 현우빌딩 1층 (서초동)","02-758-8459","127.021525","37.485941"
"249","서울교대","서울특별시 서초구 서초중앙로 64, 1층 (서초동)","02-758-8332","127.015134","37.487397"
"250","강남에비뉴","서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동)","02-758-8587","127.023894","37.5027"
"251","종암DT","서울특별시 성북구 종암로 17 (종암동)","02-925-3469","127.0360401","37.5919525"
"252","미아","서울특별시 성북구 동소문로 314 (하월곡동)","02-913-3364","127.029303","37.607581"
